language;endonym;description;world_region;country;global_speakers;primary_location;add_neighborhoods;latitude;longitude;size;status;glottocode;lg_family;iso_639_3
Luba-Katanga;Luba-Katanga;"A relatively small but growing Congolese community is scattered in different neighborhoods across the city, though one focal point has been Harlem (whose Maysles Cinema has been home to the ""Congo in Harlem"" film festival in recent years). Among the native languages spoken by Congolese New Yorkers in addition to French are Luba-Kasai, Luba-Katanga, Lingala (the lingua franca of the capital Kinshasa), Kikongo, and Mongo, and there are likely others.";Middle Africa;D.R. Congo;1510000;Central Harlem;;4.080.674.200;-7.395.094.800;Small;Residential;luba1250;Atlantic-Congo;lub
Lucano;Potentino;"While many of the first Italian New Yorkers were speakers of Ligurian, Piedmontese, Lombard, and Tuscan varieties, the overwhelming majority have been southerners who spoke forms of Sicilian, Neapolitan, Calabrese, and Pugliese. Given that less than 10 percent of the population spoke the national language (Italian) at the time of unification in the 19th century, most Italian New Yorkers were speakers of these (often not mutually intelligible) ""dialects"" who only learned Italian later, if at all. Diversity and clustering were the norm in all the major early Italian neighborhoods, with a Neapolitan-based koine reported as a common language among southern Italian immigrants. Little Italy and Greenwich Village were the crucible, but patterns were highly specific — for example Sicilians, especially from Sambucca, on Elizabeth Street, Neapolitans and Calabrians on Mulberry";;;;;;;;;;;;
Lucano;Potentino;"While many of the first Italian New Yorkers were speakers of Ligurian, Piedmontese, Lombard, and Tuscan varieties, the overwhelming majority have been southerners who spoke forms of Sicilian, Neapolitan, Calabrese, and Pugliese. Given that less than 10 percent of the population spoke the national language (Italian) at the time of unification in the 19th century, most Italian New Yorkers were speakers of these (often not mutually intelligible) ""dialects"" who only learned Italian later, if at all. Diversity and clustering were the norm in all the major early Italian neighborhoods, with a Neapolitan-based koine reported as a common language among southern Italian immigrants. Little Italy and Greenwich Village were the crucible, but patterns were highly specific — for example Sicilians, especially from Sambucca, on Elizabeth Street, Neapolitans and Calabrians on Mulberry";;;;;;;;;;;;
Luganda;Oluganda;Luganda, spoken across much of Uganda, is also known by a substantial diaspora across the U.S., with Ggwangamujje New York/New Jersey (based in Plainfield) having served since 1994 an organization representing Luganda speakers from Uganda's subnational kingdom of Buganda.;Eastern Africa;Uganda;6564750;Plainfield (NJ);;4.061.091.300;-7.441.060.900;Small;Residential;gand1255;Atlantic-Congo;lug
Lukumí;Lukumí;Lukumí is the liturgical language of Santería, a religion formed by enslaved Yoruba people brought to the New World. With roots in Yoruba religion, Christianity, and Indigenous American traditions, Santería has been practiced since the 16th century and persists among Afro-Cuban and other communities of New York City. The Lukumí language consists of a fixed set of Yoruba words and phrases (generally pronounced with Spanish intonation), many of which are now specific to Santería practices and may not be understood by modern-day practitioners. With Santería a significant force among the city's Afro-Caribbean and Latino communities, stores like Fordham's Original Products Botanica and Bushwick's Botanica Orisha Lucumi play a vital role by selling religious products like candles, oils, and herbs to both practitioners and laypeople.;Caribbean;Cuba, Dominican Republic;;Bushwick;;4.069.811.400;-7.393.701.900;Medium;Liturgical;lucu1238;Atlantic-Congo;luq
Lukumí;Lukumí;Lukumí is the liturgical language of Santería, a religion formed by enslaved Yoruba people brought to the New World. With roots in Yoruba religion, Christianity, and Indigenous American traditions, Santería has been practiced since the 16th century and persists among Afro-Cuban and other communities of New York City. The Lukumí language consists of a fixed set of Yoruba words and phrases (generally pronounced with Spanish intonation), many of which are now specific to Santería practices and may not be understood by modern-day practitioners. With Santería a significant force among the city's Afro-Caribbean and Latino communities, stores like Fordham's Original Products Botanica and Bushwick's Botanica Orisha Lucumi play a vital role by selling religious products like candles, oils, and herbs to both practitioners and laypeople.;Caribbean;Cuba, Dominican Republic;;Fordham;;4.086.059.200;-7.389.225.900;Medium;Liturgical;lucu1238;Atlantic-Congo;luq
Lummi;Xwlemi Chosen;Jean J.Y. is a Lummi woman who moved from Washington State to greater New York area as an adolescent and now leads a new working group for Indigenous employees of the NYC Department of Transportation. During the pandemic, she has been learning her heritage language with elders in Washington over Zoom and organizing online events to educate DOT employees on the importance of Indigenous language and culture.;Northern America;United States;;St. George;;4.064.473.289;-7.407.429.005;Smallest;Reviving;lumm1243;Salish;str
Luo;Dholuo;A small number of Luo speakers are reported as being part of the metropolitan area's relatively small and scattered Kenyan community—the most famous being actress Lupita Nyong'o, a native speaker (born in Mexico City) who lives in Brooklyn.;Eastern Africa;Kenya, Tanzania;4200000;Central Harlem;;4.082.276.800;-7.394.159.400;Smallest;Residential;luok1236;Nilotic;luo
Luri;لوری;At least a handful of Luri speakers were reported to live in Queens, in contact with other Persian speakers from Iran.;Southern Asia;Iran;1760000;Briarwood;;4.071.048.000;-7.381.387.000;Smallest;Residential;luri1252;Indo-European;lrc
Luxembourgish;Lëtzebuergesch;A substantial percentage of Luxembourgers left the country in the late 19th century, with tens of thousands coming to America—most passed through New York but ultimately settled in the Midwest. Today the Luxembourgish language, considered a Moselle Franconian variety of Germanic, has official status in the country along with German and French. Luxembourgers presently in the city include those in a diplomatic or business capacity, connected with institutions like the Luxembourg American Chamber of Commerce and the Grand Duchy's consulate. Ramath Orah, a synagogue in Morningside Heights, was originally established by Jewish Luxembourgers who fled the country during the Second World War.;Western Europe;Luxembourg, France;471400;East Midtown;;4.075.317.000;-7.396.476.400;Smallest;Community;luxe1241;Indo-European;ltz
Macedonian;Македонски;Seeking refuge from the Ottoman Empire, a substantial number of Macedonians first arrived in the U.S. in the early 1900s, with many finding jobs in factories. In the 1960s, another wave of Macedonians arrived, leaving what was then Yugoslavia. Today a large number of Macedonian Americans live in northern New Jersey, while a smaller community exists in College Point, Queens, centered around the St. Clemens of Orhid Orthodox Church. The Macedonian Arts Council in Lower Manhattan is another focal point. There are also many speakers with the Balkan Roma community based in the Bronx (from Macedonia), who worship at the Musa Mosque.;Southern Europe;North Macedonia, Albania;1620290;Battery Park City;;4.070.969.000;-7.401.702.600;Smallest;Community;mace1250;Indo-European;mkd
Macedonian;Македонски;Seeking refuge from the Ottoman Empire, a substantial number of Macedonians first arrived in the U.S. in the early 1900s, with many finding jobs in factories. In the 1960s, another wave of Macedonians arrived, leaving what was then Yugoslavia. Today a large number of Macedonian Americans live in northern New Jersey, while a smaller community exists in College Point, Queens, centered around the St. Clemens of Orhid Orthodox Church. The Macedonian Arts Council in Lower Manhattan is another focal point. There are also many speakers with the Balkan Roma community based in the Bronx (from Macedonia), who worship at the Musa Mosque.;Southern Europe;North Macedonia, Albania;1620290;Belmont;;4.085.763.600;-7.388.460.100;Small;Residential;mace1250;Indo-European;mkd
Macedonian;Македонски;Seeking refuge from the Ottoman Empire, a substantial number of Macedonians first arrived in the U.S. in the early 1900s, with many finding jobs in factories. In the 1960s, another wave of Macedonians arrived, leaving what was then Yugoslavia. Today a large number of Macedonian Americans live in northern New Jersey, while a smaller community exists in College Point, Queens, centered around the St. Clemens of Orhid Orthodox Church. The Macedonian Arts Council in Lower Manhattan is another focal point. There are also many speakers with the Balkan Roma community based in the Bronx (from Macedonia), who worship at the Musa Mosque.;Southern Europe;North Macedonia, Albania;1620290;College Point;Ridgewood;4.078.140.300;-7.384.396.500;Small;Residential;mace1250;Indo-European;mkd
